--BACKEND cpu --HIDDEN 100  --RATE 0.05
backend: cpu, dataset: simple, hidden: 100, rate: 0.05
Epoch 0, loss 5.52817496286788, correct 27, time 30.40 seconds
Epoch 10, loss 2.705329348675475, correct 47, time 0.12 seconds
Epoch 20, loss 1.4890510000659218, correct 48, time 0.11 seconds
Epoch 30, loss 0.8635561816490419, correct 49, time 0.13 seconds
Epoch 40, loss 2.102966128787591, correct 50, time 0.11 seconds
Epoch 50, loss 0.3520923121836196, correct 50, time 0.11 seconds
Epoch 60, loss 0.9942342939645927, correct 49, time 0.12 seconds
Epoch 70, loss 0.5556668354600687, correct 49, time 0.12 seconds
Epoch 80, loss 0.8704323319032629, correct 49, time 0.15 seconds
Epoch 90, loss 0.41930459163684614, correct 49, time 0.15 seconds
Epoch 100, loss 0.38002522357595137, correct 50, time 0.12 seconds
Epoch 110, loss 0.22176702976972645, correct 50, time 0.11 seconds
Epoch 120, loss 0.15380724550617056, correct 50, time 0.12 seconds
Epoch 130, loss 0.9830008389780323, correct 49, time 0.14 seconds
Epoch 140, loss 0.8130525341225274, correct 50, time 0.12 seconds
Epoch 150, loss 0.9425638691990154, correct 50, time 0.11 seconds
Epoch 160, loss 0.03902290282321021, correct 50, time 0.14 seconds
Epoch 170, loss 0.5649559134783091, correct 50, time 0.11 seconds
Epoch 180, loss 0.11346897367239869, correct 50, time 0.11 seconds
Epoch 190, loss 0.009645903830819764, correct 50, time 0.13 seconds
Epoch 200, loss 0.7143023831890992, correct 50, time 0.15 seconds
Epoch 210, loss 0.030674413706201026, correct 50, time 0.11 seconds
Epoch 220, loss 0.01696839361679683, correct 50, time 0.16 seconds
Epoch 230, loss 0.6882777088418437, correct 50, time 0.16 seconds
Epoch 240, loss 0.8148632679134246, correct 50, time 0.11 seconds
Epoch 250, loss 1.00958061866963, correct 50, time 0.12 seconds
Epoch 260, loss 0.11366305908169537, correct 50, time 0.11 seconds
Epoch 270, loss 0.009151233998635997, correct 50, time 0.11 seconds
Epoch 280, loss 0.33597955849704786, correct 49, time 0.12 seconds
Epoch 290, loss 0.016957209697545744, correct 50, time 0.11 seconds
Epoch 300, loss 0.026200380791581643, correct 50, time 0.12 seconds
Epoch 310, loss 0.6929734779508294, correct 50, time 0.11 seconds
Epoch 320, loss 0.24528007055171266, correct 50, time 0.14 seconds
Epoch 330, loss 0.2519082645030878, correct 49, time 0.14 seconds
Epoch 340, loss 0.6816702418345967, correct 50, time 0.14 seconds
Epoch 350, loss 0.34192934870541547, correct 50, time 0.14 seconds
Epoch 360, loss 0.2772153893972079, correct 50, time 0.14 seconds
Epoch 370, loss 0.8371572713872154, correct 50, time 0.14 seconds
Epoch 380, loss 0.02783097996665715, correct 50, time 0.25 seconds
Epoch 390, loss 0.12781339685904167, correct 50, time 0.15 seconds
Epoch 400, loss 0.3282797435560829, correct 50, time 0.15 seconds
Epoch 410, loss 0.006024770372831333, correct 50, time 0.14 seconds
Epoch 420, loss 0.2923961873816653, correct 50, time 0.15 seconds
Epoch 430, loss 0.019581193532563226, correct 50, time 0.14 seconds
Epoch 440, loss 0.017260245097213838, correct 50, time 0.15 seconds
Epoch 450, loss 0.29299085807796454, correct 50, time 0.15 seconds
Epoch 460, loss 0.24547205239473605, correct 50, time 0.14 seconds
Epoch 470, loss 0.09534738060121063, correct 50, time 0.14 seconds
Epoch 480, loss 0.3077533500410611, correct 50, time 0.15 seconds
Epoch 490, loss 0.098388512773383, correct 50, time 0.15 seconds
