--BACKEND gpu --HIDDEN 100  --RATE 0.05 --DATASET simple
backend: gpu, dataset: simple, hidden: 100, rate: 0.05, points: 50
Epoch 0, loss 6.68296364997742, correct 37, time 17.74 seconds
Epoch 10, loss 2.383918154080912, correct 48, time 8.92 seconds
Epoch 20, loss 1.6429061701666883, correct 48, time 3.50 seconds
Epoch 30, loss 1.3679749965353651, correct 48, time 3.61 seconds
Epoch 40, loss 1.0135184895980613, correct 48, time 4.02 seconds
Epoch 50, loss 2.3424653219122815, correct 47, time 4.08 seconds
Epoch 60, loss 0.6325761445447473, correct 49, time 3.56 seconds
Epoch 70, loss 1.0453719903804104, correct 50, time 3.77 seconds
Epoch 80, loss 2.121157689763397, correct 46, time 3.46 seconds
Epoch 90, loss 0.5230149603322843, correct 50, time 3.50 seconds
Epoch 100, loss 0.4837384136625925, correct 50, time 3.89 seconds
Epoch 110, loss 0.8792224520712084, correct 50, time 3.88 seconds
Epoch 120, loss 1.0588779945104387, correct 48, time 4.17 seconds
Epoch 130, loss 0.3586506777623135, correct 50, time 3.62 seconds
Epoch 140, loss 0.0033141704232045365, correct 50, time 3.57 seconds
Epoch 150, loss 0.2159235573102668, correct 48, time 4.03 seconds
Epoch 160, loss 1.6465032568216644, correct 48, time 3.48 seconds
Epoch 170, loss 0.7556596802348093, correct 50, time 3.59 seconds
Epoch 180, loss 0.5330359323571452, correct 50, time 3.41 seconds
Epoch 190, loss 0.7515044807146463, correct 49, time 3.41 seconds
Epoch 200, loss 0.8452292745810825, correct 50, time 3.58 seconds
Epoch 210, loss 1.455229025610616, correct 49, time 3.54 seconds
Epoch 220, loss 0.587690827734966, correct 49, time 3.82 seconds
Epoch 230, loss 0.4220511836521446, correct 49, time 3.55 seconds
Epoch 240, loss 1.1336858393192348, correct 49, time 3.49 seconds
Epoch 250, loss 0.9979706738898009, correct 50, time 3.39 seconds
Epoch 260, loss 0.5632417980239892, correct 50, time 3.82 seconds
Epoch 270, loss 0.33583567129318836, correct 50, time 2.56 seconds
Epoch 280, loss 0.07653650579498168, correct 50, time 3.17 seconds
Epoch 290, loss 0.3331156186441163, correct 50, time 3.12 seconds
Epoch 300, loss 0.0024275010634724477, correct 50, time 3.33 seconds
Epoch 310, loss 0.6181014827323923, correct 50, time 2.66 seconds
Epoch 320, loss 0.570639450364238, correct 50, time 2.69 seconds
Epoch 330, loss 0.04300331304675153, correct 50, time 3.09 seconds
Epoch 340, loss 0.8986213637055306, correct 50, time 3.38 seconds
Epoch 350, loss 0.0011414751015550117, correct 49, time 3.63 seconds
Epoch 360, loss 0.42219524285311294, correct 50, time 3.35 seconds
Epoch 370, loss 0.18067900446251242, correct 50, time 3.22 seconds
Epoch 380, loss 0.15880222072823302, correct 50, time 3.65 seconds
Epoch 390, loss 1.5108025144555475, correct 48, time 3.43 seconds
Epoch 400, loss 0.46993625146845774, correct 50, time 3.42 seconds
Epoch 410, loss 0.19824938322973978, correct 50, time 2.62 seconds
Epoch 420, loss 0.19218040906332098, correct 49, time 2.87 seconds
Epoch 430, loss 0.4400570526457783, correct 50, time 2.64 seconds
Epoch 440, loss 0.3651940205557449, correct 50, time 3.03 seconds
Epoch 450, loss 1.0481747283537823, correct 49, time 2.88 seconds
Epoch 460, loss 0.2367450129668335, correct 50, time 2.73 seconds
Epoch 470, loss 0.024376564032230298, correct 50, time 2.79 seconds
Epoch 480, loss 0.2679060064414669, correct 50, time 2.57 seconds
Epoch 490, loss 0.3587546737625343, correct 50, time 2.55 seconds
