--BACKEND gpu --HIDDEN 250  --RATE 0.05
backend: gpu, dataset: simple, hidden: 250, rate: 0.05
Epoch 0, loss 8.949765890057147, correct 44, time 7.30 seconds
Epoch 10, loss 1.1780632152832902, correct 46, time 3.68 seconds
Epoch 20, loss 1.193418335251185, correct 48, time 7.53 seconds
Epoch 30, loss 0.6611865574924014, correct 50, time 7.64 seconds
Epoch 40, loss 1.1058636676993872, correct 48, time 7.68 seconds
Epoch 50, loss 1.4334337108619828, correct 48, time 7.68 seconds
Epoch 60, loss 0.38200889250764447, correct 50, time 8.24 seconds
Epoch 70, loss 0.41254783743161483, correct 50, time 8.72 seconds
Epoch 80, loss 0.45307135126679776, correct 50, time 7.74 seconds
Epoch 90, loss 0.2938271411180099, correct 50, time 8.53 seconds
Epoch 100, loss 0.4660227088237348, correct 50, time 11.32 seconds
Epoch 110, loss 0.174378309327718, correct 50, time 8.70 seconds
Epoch 120, loss 0.04372808799052591, correct 50, time 7.45 seconds
Epoch 130, loss 0.24977199911236714, correct 50, time 9.87 seconds
Epoch 140, loss 0.14940814870846883, correct 50, time 11.10 seconds
Epoch 150, loss 0.15723165075658216, correct 50, time 8.60 seconds
Epoch 160, loss 0.2396529567130677, correct 50, time 7.83 seconds
Epoch 170, loss 0.39917608407227373, correct 50, time 7.59 seconds
Epoch 180, loss 0.1736258876511395, correct 50, time 8.55 seconds
Epoch 190, loss 0.009911098870725533, correct 50, time 8.54 seconds
Epoch 200, loss 0.14869462847652706, correct 50, time 7.91 seconds
Epoch 210, loss 0.052436858503119375, correct 50, time 10.12 seconds
Epoch 220, loss 0.038385657114081415, correct 50, time 8.13 seconds
Epoch 230, loss 0.18380601123068963, correct 50, time 7.90 seconds
Epoch 240, loss 0.006375664141886459, correct 50, time 9.28 seconds
Epoch 250, loss 0.06424960574778933, correct 50, time 8.17 seconds
Epoch 260, loss 0.12280402621920568, correct 50, time 7.67 seconds
Epoch 270, loss 0.0005924639157333649, correct 50, time 8.31 seconds
Epoch 280, loss 0.07583529258635491, correct 50, time 8.00 seconds
Epoch 290, loss 0.00899937371260089, correct 50, time 8.80 seconds
Epoch 300, loss 0.15960871526697817, correct 50, time 9.55 seconds
Epoch 310, loss 0.08227870855260512, correct 50, time 7.93 seconds
Epoch 320, loss 0.051363096728270656, correct 50, time 9.00 seconds
Epoch 330, loss 0.09642737022999776, correct 50, time 7.84 seconds
Epoch 340, loss 0.059512855315128996, correct 50, time 8.07 seconds
Epoch 350, loss 0.13638312400410646, correct 50, time 7.31 seconds
Epoch 360, loss 0.011799600290026626, correct 50, time 7.39 seconds
Epoch 370, loss 0.053246553912188084, correct 50, time 7.84 seconds
Epoch 380, loss 0.059918990807807854, correct 50, time 7.78 seconds
Epoch 390, loss 0.051330225943388826, correct 50, time 7.62 seconds
Epoch 400, loss 0.047674179686858276, correct 50, time 7.36 seconds
Epoch 410, loss 0.053369120534026634, correct 50, time 7.93 seconds
Epoch 420, loss 0.029081420695874428, correct 50, time 7.88 seconds
Epoch 430, loss 0.1402748098568458, correct 50, time 7.80 seconds
Epoch 440, loss 0.04720081160605938, correct 50, time 8.26 seconds
Epoch 450, loss 0.01216883762383722, correct 50, time 8.45 seconds
Epoch 460, loss 0.029793759562434213, correct 50, time 7.66 seconds
Epoch 470, loss 0.03399455811805155, correct 50, time 7.80 seconds
Epoch 480, loss 0.01759348859451171, correct 50, time 8.45 seconds
Epoch 490, loss 0.09285372876842674, correct 50, time 7.58 seconds
