ensor.py --BACKEND cpu --HIDDEN 250  --RATE 0.05
backend: cpu, dataset: simple, hidden: 250, rate: 0.05, points: 50
Using FastTensorBackend
Epoch 0, loss 0.7606393531559354, correct 49, time 35.80 seconds
Epoch 10, loss 0.25941216342984647, correct 50, time 0.53 seconds
Epoch 20, loss 0.479705376807187, correct 48, time 0.41 seconds
Epoch 30, loss 0.24701770173009144, correct 50, time 0.40 seconds
Epoch 40, loss 0.29156875549110806, correct 48, time 0.41 seconds
Epoch 50, loss 0.015396037252339529, correct 50, time 0.42 seconds
Epoch 60, loss 0.13417694547685458, correct 50, time 0.42 seconds
Epoch 70, loss 0.22460687213152644, correct 50, time 0.49 seconds
Epoch 80, loss 0.0023624080640160397, correct 50, time 0.59 seconds
Epoch 90, loss 0.5129697161731503, correct 50, time 0.53 seconds
Epoch 100, loss 0.3444883567458985, correct 50, time 0.54 seconds
Epoch 110, loss 0.10833108221723622, correct 50, time 0.64 seconds
Epoch 120, loss 0.040486322647658855, correct 50, time 0.55 seconds
Epoch 130, loss 0.35612188517581767, correct 50, time 0.53 seconds
Epoch 140, loss 0.3062603012960327, correct 50, time 0.58 seconds
Epoch 150, loss 0.19370745330178601, correct 50, time 0.50 seconds
Epoch 160, loss 0.13267991882144273, correct 50, time 0.44 seconds
Epoch 170, loss 0.17216288936913424, correct 50, time 0.42 seconds
Epoch 180, loss 0.01887248989983529, correct 50, time 0.46 seconds
Epoch 190, loss 0.27022015862506515, correct 50, time 0.46 seconds
Epoch 200, loss 0.022726344496494036, correct 50, time 0.40 seconds
Epoch 210, loss 0.22376940465980433, correct 50, time 0.42 seconds
Epoch 220, loss 0.002833265926793888, correct 50, time 0.46 seconds
Epoch 230, loss 0.13874102905349997, correct 50, time 0.54 seconds
Epoch 240, loss 0.00033391868919162797, correct 50, time 0.52 seconds
Epoch 250, loss 0.24121215958688833, correct 50, time 0.52 seconds
Epoch 260, loss 0.008829711518609925, correct 50, time 0.57 seconds
Epoch 270, loss 0.05880268486726747, correct 50, time 0.59 seconds
Epoch 280, loss 0.12900200224119707, correct 50, time 0.58 seconds
Epoch 290, loss 0.13362182892094088, correct 50, time 0.53 seconds
Epoch 300, loss 0.10495298734942801, correct 50, time 0.48 seconds
Epoch 310, loss 0.30206491752603387, correct 50, time 0.51 seconds
Epoch 320, loss 0.0005357039948453944, correct 50, time 0.45 seconds
Epoch 330, loss 0.07813700592831253, correct 50, time 0.44 seconds
Epoch 340, loss 0.13807468597441142, correct 50, time 0.43 seconds
Epoch 350, loss 0.2549917607494568, correct 50, time 0.43 seconds
Epoch 360, loss 0.004676846760506378, correct 50, time 0.43 seconds
Epoch 370, loss 0.005057016980271147, correct 50, time 0.46 seconds
Epoch 380, loss 0.06302449143667904, correct 50, time 0.60 seconds
Epoch 390, loss 0.10731689785920978, correct 50, time 0.49 seconds
Epoch 400, loss 0.04661558585274219, correct 50, time 0.54 seconds
Epoch 410, loss 0.21511055621319977, correct 50, time 0.56 seconds
Epoch 420, loss 0.0684631396731972, correct 50, time 0.50 seconds
Epoch 430, loss 0.003447190149620545, correct 50, time 0.45 seconds
Epoch 440, loss 0.03425895657445207, correct 50, time 0.55 seconds
Epoch 450, loss 0.09722884211891007, correct 50, time 0.44 seconds
Epoch 460, loss 0.000541937981507568, correct 50, time 0.45 seconds
Epoch 470, loss 9.586667429816694e-05, correct 50, time 0.44 seconds
Epoch 480, loss -4.645286439911455e-06, correct 50, time 0.41 seconds
Epoch 490, loss 0.14047485034656124, correct 50, time 0.40 seconds
