--BACKEND cpu --HIDDEN 100  --RATE 0.05 --DATASET split
backend: cpu, dataset: split, hidden: 100, rate: 0.05, points: 50
Epoch 0, loss 9.19483399736696, correct 31, time 27.72 seconds
Epoch 10, loss 8.405148817681415, correct 39, time 0.11 seconds
Epoch 20, loss 5.383761765652042, correct 39, time 0.11 seconds
Epoch 30, loss 5.02391445705955, correct 43, time 0.13 seconds
Epoch 40, loss 5.541219299962146, correct 43, time 0.13 seconds
Epoch 50, loss 4.490757296141566, correct 37, time 0.11 seconds
Epoch 60, loss 4.972234363410205, correct 44, time 0.11 seconds
Epoch 70, loss 3.018466397654893, correct 42, time 0.11 seconds
Epoch 80, loss 4.546883788828131, correct 46, time 0.10 seconds
Epoch 90, loss 2.081491967384871, correct 46, time 0.10 seconds
Epoch 100, loss 1.6225524286219792, correct 48, time 0.11 seconds
Epoch 110, loss 2.379710088402255, correct 43, time 0.11 seconds
Epoch 120, loss 1.6126376006614547, correct 47, time 0.10 seconds
Epoch 130, loss 2.4098899788896366, correct 44, time 0.15 seconds
Epoch 140, loss 4.2603655270006415, correct 47, time 0.10 seconds
Epoch 150, loss 1.5852417438696964, correct 47, time 0.11 seconds
Epoch 160, loss 1.9129506162825392, correct 46, time 0.11 seconds
Epoch 170, loss 1.7246702595671435, correct 49, time 0.10 seconds
Epoch 180, loss 2.2362033187498143, correct 47, time 0.11 seconds
Epoch 190, loss 1.6565151370875626, correct 49, time 0.11 seconds
Epoch 200, loss 1.0867448301385187, correct 48, time 0.11 seconds
Epoch 210, loss 2.8660134963232737, correct 46, time 0.12 seconds
Epoch 220, loss 1.7080830178536939, correct 47, time 0.12 seconds
Epoch 230, loss 0.9837844659186151, correct 49, time 0.12 seconds
Epoch 240, loss 1.293236374146267, correct 45, time 0.11 seconds
Epoch 250, loss 1.4869302825292274, correct 46, time 0.12 seconds
Epoch 260, loss 0.8006648695748868, correct 48, time 0.12 seconds
Epoch 270, loss 1.9867720699013034, correct 47, time 0.12 seconds
Epoch 280, loss 2.6384880751299864, correct 49, time 0.11 seconds
Epoch 290, loss 3.4842850867453983, correct 44, time 0.11 seconds
Epoch 300, loss 1.9032442911441771, correct 49, time 0.11 seconds
Epoch 310, loss 1.0205146032244738, correct 49, time 0.11 seconds
Epoch 320, loss 0.2587598025608416, correct 49, time 0.11 seconds
Epoch 330, loss 1.9328023424670397, correct 49, time 0.11 seconds
Epoch 340, loss 0.2778828195423739, correct 49, time 0.11 seconds
Epoch 350, loss 0.5940669571030852, correct 49, time 0.11 seconds
Epoch 360, loss 2.5326698236915206, correct 49, time 0.11 seconds
Epoch 370, loss 0.5411868699100493, correct 49, time 0.13 seconds
Epoch 380, loss 0.9466621037952306, correct 49, time 0.24 seconds
Epoch 390, loss 1.0649361954061662, correct 48, time 0.13 seconds
Epoch 400, loss 0.7954955369284609, correct 49, time 0.14 seconds
Epoch 410, loss 0.7188432472201483, correct 47, time 0.14 seconds
Epoch 420, loss 0.4878156869012766, correct 46, time 0.14 seconds
Epoch 430, loss 3.0469188793542097, correct 47, time 0.14 seconds
Epoch 440, loss 1.3868048337030472, correct 48, time 0.16 seconds
Epoch 450, loss 2.345493699178271, correct 45, time 0.16 seconds
Epoch 460, loss 1.3453385303776253, correct 49, time 0.15 seconds
Epoch 470, loss 0.20964734374049118, correct 47, time 0.14 seconds
Epoch 480, loss 0.3614603977532976, correct 49, time 0.14 seconds
Epoch 490, loss 0.5118887780572651, correct 49, time 0.15 seconds
