--BACKEND gpu --HIDDEN 100  --RATE 0.05 --DATASET split
backend: gpu, dataset: split, hidden: 100, rate: 0.05, points: 50
Epoch 0, loss 5.657220562848061, correct 32, time 7.19 seconds
Epoch 10, loss 7.771813451817472, correct 20, time 3.59 seconds
Epoch 20, loss 4.390204274814756, correct 40, time 3.49 seconds
Epoch 30, loss 4.682450189826815, correct 45, time 3.60 seconds
Epoch 40, loss 2.4488682144433236, correct 48, time 3.49 seconds
Epoch 50, loss 2.4681724160292617, correct 49, time 3.56 seconds
Epoch 60, loss 2.4261143832587555, correct 45, time 3.70 seconds
Epoch 70, loss 1.7713401043514434, correct 50, time 3.59 seconds
Epoch 80, loss 1.603895997609591, correct 49, time 3.64 seconds
Epoch 90, loss 1.5644928653124834, correct 47, time 3.50 seconds
Epoch 100, loss 2.75301124400299, correct 48, time 3.59 seconds
Epoch 110, loss 1.539822924297964, correct 50, time 3.68 seconds
Epoch 120, loss 1.2809096437610408, correct 49, time 3.61 seconds
Epoch 130, loss 1.022715524899043, correct 50, time 3.56 seconds
Epoch 140, loss 1.5698478627537908, correct 49, time 3.45 seconds
Epoch 150, loss 0.4358144683444658, correct 50, time 3.51 seconds
Epoch 160, loss 0.9595922649696866, correct 50, time 3.46 seconds
Epoch 170, loss 0.5860427930078508, correct 50, time 3.60 seconds
Epoch 180, loss 0.38918018419997474, correct 49, time 3.44 seconds
Epoch 190, loss 0.45877751476919487, correct 50, time 3.52 seconds
Epoch 200, loss 1.3648233947085153, correct 50, time 3.61 seconds
Epoch 210, loss 0.029750519370476115, correct 49, time 3.54 seconds
Epoch 220, loss 0.38641139104088107, correct 49, time 3.64 seconds
Epoch 230, loss 0.613503799054451, correct 50, time 3.69 seconds
Epoch 240, loss 0.6863075324821715, correct 50, time 3.62 seconds
Epoch 250, loss 1.6095740382632653, correct 50, time 3.58 seconds
Epoch 260, loss 0.21085961251565635, correct 50, time 3.40 seconds
Epoch 270, loss 0.9586587702088661, correct 50, time 3.49 seconds
Epoch 280, loss 0.9764397941489014, correct 49, time 3.56 seconds
Epoch 290, loss 0.5618882048210706, correct 50, time 4.19 seconds
Epoch 300, loss 0.26327159872543693, correct 50, time 3.58 seconds
Epoch 310, loss 0.7917247891382888, correct 50, time 3.49 seconds
Epoch 320, loss 1.1096626014218196, correct 50, time 3.23 seconds
Epoch 330, loss 0.6406320778971238, correct 50, time 2.69 seconds
Epoch 340, loss 0.846313813545545, correct 50, time 3.32 seconds
Epoch 350, loss 0.7583041295213265, correct 50, time 3.26 seconds
Epoch 360, loss 0.22940401146484063, correct 50, time 3.26 seconds
Epoch 370, loss 0.49462464196994654, correct 50, time 3.08 seconds
Epoch 380, loss 0.03286338576384899, correct 50, time 2.48 seconds
Epoch 390, loss 0.25490411655417533, correct 50, time 3.22 seconds
Epoch 400, loss 0.010084630896794147, correct 50, time 3.20 seconds
Epoch 410, loss 0.6792887063297882, correct 50, time 2.48 seconds
Epoch 420, loss 0.3898809696778756, correct 50, time 2.55 seconds
Epoch 430, loss 0.06365866209141839, correct 50, time 2.81 seconds
Epoch 440, loss 0.19875353335078066, correct 50, time 2.53 seconds
Epoch 450, loss 0.8519215056759522, correct 50, time 2.56 seconds
Epoch 460, loss 0.6238691580975493, correct 50, time 2.56 seconds
Epoch 470, loss 0.08788143184323322, correct 50, time 3.88 seconds
Epoch 480, loss 0.10617325375419831, correct 50, time 3.98 seconds
Epoch 490, loss 0.6531245361606888, correct 50, time 3.43 seconds
