--BACKEND cpu --HIDDEN 100  --RATE 0.05 --DATASET xor
backend: cpu, dataset: xor, hidden: 100, rate: 0.05, points: 50
Epoch 0, loss 6.419373459460569, correct 27, time 32.09 seconds
Epoch 10, loss 6.96875208904579, correct 42, time 0.11 seconds
Epoch 20, loss 2.8649128518784948, correct 45, time 0.11 seconds
Epoch 30, loss 3.550069376631923, correct 44, time 0.15 seconds
Epoch 40, loss 3.5270420886898934, correct 46, time 0.11 seconds
Epoch 50, loss 1.4851711271250518, correct 46, time 0.15 seconds
Epoch 60, loss 5.155502500650663, correct 44, time 0.18 seconds
Epoch 70, loss 3.5449007590415262, correct 46, time 0.13 seconds
Epoch 80, loss 2.665217641898387, correct 46, time 0.16 seconds
Epoch 90, loss 1.8992136017299808, correct 47, time 0.14 seconds
Epoch 100, loss 1.304903268343776, correct 46, time 0.12 seconds
Epoch 110, loss 1.7048108392893226, correct 47, time 0.13 seconds
Epoch 120, loss 1.7524713135351644, correct 47, time 0.13 seconds
Epoch 130, loss 0.7800397254325747, correct 47, time 0.14 seconds
Epoch 140, loss 1.3942308970284822, correct 48, time 0.16 seconds
Epoch 150, loss 1.2982502268270872, correct 47, time 0.16 seconds
Epoch 160, loss 2.1938609893261294, correct 47, time 0.15 seconds
Epoch 170, loss 2.0435174243687046, correct 49, time 0.15 seconds
Epoch 180, loss 2.0413721360855894, correct 47, time 0.15 seconds
Epoch 190, loss 0.5956757905091553, correct 46, time 0.11 seconds
Epoch 200, loss 0.36561658763707117, correct 50, time 0.12 seconds
Epoch 210, loss 0.8991228722968455, correct 50, time 0.12 seconds
Epoch 220, loss 1.7723949286574074, correct 50, time 0.13 seconds
Epoch 230, loss 0.29513737368708715, correct 48, time 0.11 seconds
Epoch 240, loss 1.4623761056995532, correct 50, time 0.15 seconds
Epoch 250, loss 0.8397449821010389, correct 48, time 0.15 seconds
Epoch 260, loss 2.6216743801285287, correct 46, time 0.12 seconds
Epoch 270, loss 1.184200650942846, correct 50, time 0.11 seconds
Epoch 280, loss 1.6473918764442097, correct 49, time 0.11 seconds
Epoch 290, loss 0.8798826080569603, correct 50, time 0.12 seconds
Epoch 300, loss 2.5755984258730074, correct 48, time 0.11 seconds
Epoch 310, loss 1.2145702502093394, correct 50, time 0.11 seconds
Epoch 320, loss 0.6204167470151246, correct 50, time 0.14 seconds
Epoch 330, loss 0.7355583584759526, correct 49, time 0.27 seconds
Epoch 340, loss 0.868971228440603, correct 50, time 0.19 seconds
Epoch 350, loss 0.8815149351708758, correct 50, time 0.18 seconds
Epoch 360, loss 1.2464426577660854, correct 50, time 0.19 seconds
Epoch 370, loss 0.6491648972716044, correct 50, time 0.19 seconds
Epoch 380, loss 0.11424263970568796, correct 50, time 0.31 seconds
Epoch 390, loss 0.14650772760751887, correct 49, time 0.19 seconds
Epoch 400, loss 0.8899271349923312, correct 50, time 0.21 seconds
Epoch 410, loss 1.4237794193256832, correct 49, time 0.19 seconds
Epoch 420, loss 0.03991044124805683, correct 50, time 0.20 seconds
Epoch 430, loss 0.55792539173454, correct 50, time 0.15 seconds
Epoch 440, loss 0.3313704762488577, correct 50, time 0.17 seconds
Epoch 450, loss 0.6332956089620122, correct 50, time 0.14 seconds
Epoch 460, loss 0.8425150715231002, correct 50, time 0.20 seconds
Epoch 470, loss 1.2688608887803634, correct 50, time 0.14 seconds
Epoch 480, loss 0.8351903102009907, correct 50, time 0.14 seconds
Epoch 490, loss 0.04955592718754653, correct 50, time 0.14 seconds
