ensor.py --BACKEND gpu --HIDDEN 100  --RATE 0.05 --DATASET xor
backend: gpu, dataset: xor, hidden: 100, rate: 0.05, points: 50
Epoch 0, loss 7.476310475180543, correct 30, time 7.16 seconds
Epoch 10, loss 4.727476276456226, correct 43, time 3.23 seconds
Epoch 20, loss 4.413027300862569, correct 41, time 3.22 seconds
Epoch 30, loss 3.1480314596256616, correct 44, time 3.21 seconds
Epoch 40, loss 2.6570283062155857, correct 48, time 3.45 seconds
Epoch 50, loss 4.438296014371257, correct 48, time 3.44 seconds
Epoch 60, loss 1.6032287139331776, correct 48, time 3.39 seconds
Epoch 70, loss 1.4258468236981876, correct 47, time 3.16 seconds
Epoch 80, loss 1.288726491884274, correct 47, time 4.18 seconds
Epoch 90, loss 3.2911100403264753, correct 47, time 3.98 seconds
Epoch 100, loss 0.7621658342723722, correct 47, time 3.96 seconds
Epoch 110, loss 1.571021897498789, correct 48, time 4.22 seconds
Epoch 120, loss 0.6844930235280375, correct 49, time 3.69 seconds
Epoch 130, loss 1.8801416915272575, correct 50, time 4.02 seconds
Epoch 140, loss 1.1411761922931292, correct 50, time 3.38 seconds
Epoch 150, loss 2.4027336608925967, correct 47, time 4.15 seconds
Epoch 160, loss 1.7413176130089363, correct 47, time 2.98 seconds
Epoch 170, loss 1.0501054598131099, correct 50, time 3.60 seconds
Epoch 180, loss 1.0586521114711107, correct 50, time 4.06 seconds
Epoch 190, loss 0.8751752813658673, correct 49, time 3.57 seconds
Epoch 200, loss 1.0466373827578237, correct 49, time 3.62 seconds
Epoch 210, loss 0.5148694853179019, correct 48, time 3.87 seconds
Epoch 220, loss 0.5572465701582537, correct 50, time 3.53 seconds
Epoch 230, loss 1.7344150305517751, correct 50, time 3.58 seconds
Epoch 240, loss 0.522941122367351, correct 50, time 3.77 seconds
Epoch 250, loss 0.9856003388654584, correct 50, time 3.91 seconds
Epoch 260, loss 0.5834094350937776, correct 49, time 3.79 seconds
Epoch 270, loss 0.5554515785431535, correct 50, time 3.52 seconds
Epoch 280, loss 1.1232493392709912, correct 50, time 3.45 seconds
Epoch 290, loss 0.22963831982288518, correct 50, time 3.71 seconds
Epoch 300, loss 0.6580740063003754, correct 49, time 3.91 seconds
Epoch 310, loss 1.1141547967286414, correct 50, time 4.03 seconds
Epoch 320, loss 0.29045352192316587, correct 50, time 3.95 seconds
Epoch 330, loss 0.466213687759308, correct 50, time 3.94 seconds
Epoch 340, loss 0.29610189286700955, correct 50, time 3.71 seconds
Epoch 350, loss 0.5271501601121608, correct 50, time 3.60 seconds
Epoch 360, loss 0.4457292973818425, correct 50, time 4.08 seconds
Epoch 370, loss 1.0870483786650893, correct 50, time 3.77 seconds
Epoch 380, loss 0.1411549803445361, correct 50, time 3.57 seconds
Epoch 390, loss 0.4501398033716228, correct 50, time 3.65 seconds
Epoch 400, loss 0.43881592090913646, correct 50, time 3.55 seconds
Epoch 410, loss 0.2523778506958985, correct 50, time 3.31 seconds
Epoch 420, loss 0.6947465871763814, correct 50, time 3.44 seconds
Epoch 430, loss 0.13551512946304572, correct 50, time 4.09 seconds
Epoch 440, loss 0.15171721673933064, correct 50, time 3.99 seconds
Epoch 450, loss 0.20444077374456135, correct 50, time 3.62 seconds
Epoch 460, loss 0.05864154473204009, correct 50, time 3.18 seconds
Epoch 470, loss 0.14762431192793155, correct 50, time 4.14 seconds
Epoch 480, loss 0.5213497853652733, correct 50, time 4.17 seconds
Epoch 490, loss 0.2111923492298178, correct 50, time 3.89 seconds
