--BACKEND cpu --HIDDEN 250  --RATE 0.05 --DATASET xor
backend: cpu, dataset: xor, hidden: 250, rate: 0.05
Using FastTensorBackend
Epoch 0, loss 6.225647840988301, correct 40, time 26.62 seconds
Epoch 10, loss 3.459872558722143, correct 44, time 0.34 seconds
Epoch 20, loss 4.919360418923512, correct 43, time 0.33 seconds
Epoch 30, loss 2.1127730598685726, correct 48, time 0.33 seconds
Epoch 40, loss 0.8697056220887358, correct 47, time 0.38 seconds
Epoch 50, loss 0.8938777042542823, correct 48, time 0.35 seconds
Epoch 60, loss 0.9642127565814058, correct 49, time 0.33 seconds
Epoch 70, loss 1.3689790582457846, correct 48, time 0.35 seconds
Epoch 80, loss 1.5468676659420257, correct 49, time 0.37 seconds
Epoch 90, loss 2.1526976921441827, correct 48, time 0.40 seconds
Epoch 100, loss 2.5766319346618856, correct 47, time 0.39 seconds
Epoch 110, loss 1.4177351962196783, correct 48, time 0.36 seconds
Epoch 120, loss 0.9455668703745781, correct 48, time 0.34 seconds
Epoch 130, loss 0.20510158156655567, correct 49, time 0.54 seconds
Epoch 140, loss 1.2956839461136638, correct 47, time 0.68 seconds
Epoch 150, loss 0.5199422363238191, correct 48, time 0.61 seconds
Epoch 160, loss 2.7938249777580695, correct 47, time 0.52 seconds
Epoch 170, loss 0.9824236526623776, correct 48, time 0.47 seconds
Epoch 180, loss 1.7342632480038103, correct 49, time 0.48 seconds
Epoch 190, loss 0.5299214188190078, correct 48, time 0.66 seconds
Epoch 200, loss 0.28726997960876105, correct 50, time 0.44 seconds
Epoch 210, loss 1.3921643173620841, correct 49, time 0.39 seconds
Epoch 220, loss 0.609032130938844, correct 48, time 0.39 seconds
Epoch 230, loss 0.2862917931806746, correct 48, time 0.35 seconds
Epoch 240, loss 0.2232148129070406, correct 48, time 0.36 seconds
Epoch 250, loss 1.221475348819645, correct 50, time 0.34 seconds
Epoch 260, loss 1.4875279289829484, correct 48, time 0.33 seconds
Epoch 270, loss 0.3796975042549993, correct 47, time 0.37 seconds
Epoch 280, loss 0.963070030822512, correct 50, time 0.34 seconds
Epoch 290, loss 0.5875940986048234, correct 47, time 0.41 seconds
Epoch 300, loss 0.872644951056194, correct 48, time 0.40 seconds
Epoch 310, loss 0.48505617344316077, correct 48, time 0.42 seconds
Epoch 320, loss 1.1335224520456846, correct 49, time 0.43 seconds
Epoch 330, loss 0.38715903123470613, correct 48, time 0.45 seconds
Epoch 340, loss 0.011278294314400559, correct 48, time 0.48 seconds
Epoch 350, loss 0.5782781230956653, correct 48, time 0.52 seconds
Epoch 360, loss 0.8786833487891549, correct 49, time 0.53 seconds
Epoch 370, loss 0.7924351286907159, correct 49, time 0.44 seconds
Epoch 380, loss 0.026630588027328535, correct 48, time 0.54 seconds
Epoch 390, loss 1.5316788407373958, correct 48, time 0.44 seconds
Epoch 400, loss 1.2067322850389086, correct 50, time 0.41 seconds
Epoch 410, loss 1.0939018614944978, correct 50, time 0.46 seconds
Epoch 420, loss 0.007272342347516881, correct 50, time 0.37 seconds
Epoch 430, loss 1.098149005507013, correct 50, time 0.57 seconds
Epoch 440, loss 0.4833518733060162, correct 48, time 0.47 seconds
Epoch 450, loss 1.1810660414418734, correct 48, time 0.41 seconds
Epoch 460, loss 0.06570296636269564, correct 49, time 0.43 seconds
Epoch 470, loss 0.893202743423001, correct 49, time 0.45 seconds
Epoch 480, loss 0.12953515038688984, correct 47, time 0.51 seconds
Epoch 490, loss 0.4181644548006147, correct 48, time 0.44 seconds
