--BACKEND gpu --HIDDEN 250  --RATE 0.05 --DATASET xor
backend: gpu, dataset: xor, hidden: 250, rate: 0.05
Epoch 0, loss 14.388247223890726, correct 29, time 6.33 seconds
Epoch 10, loss 2.2604124167834763, correct 42, time 4.12 seconds
Epoch 20, loss 0.4283733418836305, correct 44, time 4.12 seconds
Epoch 30, loss 1.852552185020686, correct 48, time 4.46 seconds
Epoch 40, loss 2.393669421971505, correct 49, time 4.28 seconds
Epoch 50, loss 2.27139867361584, correct 48, time 4.12 seconds
Epoch 60, loss 1.7660306798860201, correct 48, time 4.12 seconds
Epoch 70, loss 2.23659945854666, correct 47, time 4.04 seconds
Epoch 80, loss 1.1947608698910552, correct 45, time 4.07 seconds
Epoch 90, loss 0.7284595520531166, correct 45, time 4.01 seconds
Epoch 100, loss 0.7770359503307127, correct 48, time 4.10 seconds
Epoch 110, loss 0.8194150396131205, correct 48, time 3.86 seconds
Epoch 120, loss 2.972610433617299, correct 49, time 3.46 seconds
Epoch 130, loss 1.4817369972749719, correct 47, time 3.63 seconds
Epoch 140, loss 1.1773136033222122, correct 48, time 4.07 seconds
Epoch 150, loss 1.7856272651721241, correct 46, time 3.64 seconds
Epoch 160, loss 1.1256264630999686, correct 50, time 3.51 seconds
Epoch 170, loss 1.9744672714258034, correct 48, time 3.52 seconds
Epoch 180, loss 0.7919529035329349, correct 50, time 4.50 seconds
Epoch 190, loss 1.378869548602421, correct 50, time 3.65 seconds
Epoch 200, loss 0.4164389892388065, correct 47, time 3.45 seconds
Epoch 210, loss 1.7383938113939787, correct 46, time 3.45 seconds
Epoch 220, loss 0.9052267966926931, correct 50, time 3.46 seconds
Epoch 230, loss 1.3892612285619317, correct 50, time 3.66 seconds
Epoch 240, loss 0.5240680774526948, correct 48, time 3.53 seconds
Epoch 250, loss 1.4233452552505401, correct 49, time 3.33 seconds
Epoch 260, loss 1.2928345362776126, correct 50, time 3.26 seconds
Epoch 270, loss 0.3567494686846705, correct 49, time 4.18 seconds
Epoch 280, loss 1.3651137891986127, correct 48, time 3.97 seconds
Epoch 290, loss 0.5693819847596512, correct 48, time 4.04 seconds
Epoch 300, loss 0.15290703394271954, correct 49, time 3.40 seconds
Epoch 310, loss 0.14462558490770638, correct 50, time 3.30 seconds
Epoch 320, loss 0.797923991002611, correct 50, time 3.32 seconds
Epoch 330, loss 0.15328432606537395, correct 49, time 3.33 seconds
Epoch 340, loss 0.6965936330387169, correct 50, time 3.29 seconds
Epoch 350, loss 0.5363742471401226, correct 50, time 3.33 seconds
Epoch 360, loss 0.6059796463652982, correct 50, time 3.70 seconds
Epoch 370, loss 0.5641704429534704, correct 49, time 3.34 seconds
Epoch 380, loss 0.7974472505656865, correct 50, time 3.30 seconds
Epoch 390, loss 1.2839516194399567, correct 46, time 3.36 seconds
Epoch 400, loss 0.017151772364832216, correct 50, time 3.42 seconds
Epoch 410, loss 0.4374141223957944, correct 50, time 3.34 seconds
Epoch 420, loss 1.3272915492224873, correct 49, time 3.43 seconds
Epoch 430, loss 1.0536641329590002, correct 50, time 3.45 seconds
Epoch 440, loss 1.0041948116557664, correct 50, time 3.32 seconds
Epoch 450, loss 0.7801866471096902, correct 50, time 3.37 seconds
Epoch 460, loss 0.11897521060205014, correct 50, time 3.49 seconds
Epoch 470, loss 0.6210401511001941, correct 48, time 3.30 seconds
Epoch 480, loss 0.5669996718088729, correct 50, time 3.26 seconds
Epoch 490, loss 0.07207454372668967, correct 50, time 3.33 seconds
